Symptoms_of coffea_cruda_from_Allens_Keynotes,Systems of the body_affected_by_Coffea_Cruda,Sphere_of_action_of_Coffea_cruda_from_Author_Boger,Sphere_of_action_of_Coffea_Cruda_from_Author_Burt,Location_Affected_by_Coffea_Cruda_From_Author_Boger,Worse_Modalities _of_Coffea_Cruda_from_Author_Boericke,Aggravation_Modalities _of_ Coffea_Cruda_from_Author_Boericke,Better_Modalities _of_ Coffea_Cruda_from_Author_Boericke,Amelioration_Modalities _of_ Coffea_Cruda_from_Author_Boericke,Aggravation _ Modalities_of_Coffea_Cruda_from_Author_ Allen,Amelioration _ Modalities_of_Coffea_Cruda_from_Author_ Allen,Worse _Modalities_of_Coffea_Cruda_from_Author_Boger,Better _Modalities_of_Coffea_Cruda_from_Author_Boger,Clinical_Conditions_of _Coffea_Cruda_from_Boericke,Clinical_Conditions_of _Coffea_Cruda_from_Boger,Relationship_of_Coffea_Cruda_from_Author_Gibson_Miller:,Relationship_of_Coffea_Cruda_from_Author_Allen,Relationship_of_Coffea_Cruda_from_Author_Dr_Boger,Generalities_of_Coffea_Cruda_from_Author_Boericke
Ailments Sudden Emotions,Nervous System,NERVES,cerebro-spinal nervous system,NERVES,excessive emotions (joy),excessive emotions (joy),warmth,warmth,Sudden mental emotion,,WORSE NOISE.,BETTER lying.,Toothache,Clavus,"Complementary remedy to coff., is Acon.","Relations. Compare Acon. , Cham. , Ign. , Sulph.","Complementary to coff., are : Acon. Aco.","Stimulates the functional activity of all organs, increasing the nervous and vascular activity. The drinking of coffee by the aged is likely to increase production of uric acid, causing irritation of kidneys; muscle and joint pains, and with the increased susceptibility of old people to the stimulating action of coffee and tea, their use should be curtailed or carefully watched. Great nervous agitation and restlessness.Extreme sensitiveness characterizes this remedy. Neuralgia in various parts; always with great nervous excitability and INTOLERANCE OF PAIN, driving to despair. UNUSUAL ACTIVITY OF MIND AND BODY. Bad effects of sudden emotions, surprises, joy, etc. Nervous palpitation. Coffea is specially suited to tall, lean, stooping persons with dark complexions, temperament choleric and sanguine. Skin hypersensitive"
Ailments Sudden Pleasurable surprises,head,Cardiac,CEREBRUM Mentality Stimulated,Cardiac,narcotics,narcotics,from lying down,from lying down,excessive joy,,WORSE touch.,BETTER sleep.,Sensitive Hearing,Acute hearing,"Remedies that Follow well coff., are fl-ac.,acon.,aur.,Bell.,lyc.,nux-v.,op.,sulph.","Compare coffea with bell., cham., op., in all the senses more acute, sight,hearing, smell, taste, touch",Related remedies to coff are : Coca. Ign.,
tall Lean Persons,Mind,CIRCULATION,CEREBRUM Obstinate Insomnia,CIRCULATION,strong odors,strong odors,holding ice in mouth,holding ice in mouth,cold,,WORSE odors.,BETTER warmth.,Sleeplessness,Nervous Palpitation,"Inimical remedies to coff., are Canth.,caust.,cocc.,ign.",Compare Coffea with Caust. in Ailments : the bad effects of sudden emotions or pleasurable surprises,"Antagonistic remedies to coff., are :Canth. Caust. Coccl. Ign.",
Stooping Persons,Five Senses,Sex Organs,CORD. (POSTERIOR COLUMNS.) Sensory Nerve Filaments Paralysis,Sex Organs,noise,noise,,,open air,,"WORSE air (Open, Cold, windy).",,Dysmenorrhoea,Nervous Sleeplessness,"Antidotes to coff., are acet-ac.,acon.,Cham.,chin.,grat.,merc.,Nux-v.,Puls.sulph.,",(Gels. is for exciting or bad news ailments),"Duration of action of coff., is :less than 1 week",
Dark Complexioned,Touch,Women,Sensory Nerve Filaments Paralysis,Women,open air,open air,,,narcotic medicines.,,WORSE mental emotions.,,Prosopalgia,Itching Genitals,Duration of action 1-7 days,"Compare Coffea with acon., cham., in pains seem almost insupportable, driving patient to despair.",,
Sanguine Temperament,Pain,,CIRCULATION,,cold,cold,,,,,WORSE mental exertion.,,dry cough,,,Compare Coffea with physical excitement through mental exaltation.,,
Choleric Temperament,Smell,,CIRCULATION Vaso-motor Stimulation,,night,night,,,,,WORSE overeating.,,measles,,,"(Senecio aureus has sleeplessness from prolapsus, uterine irritation, during climacteric)",,
Unusual Activity of mind,Taste,,CiRCULATION Increased Blood-Pressure,,,,,,,,WORSE alcohol.,,crural neuralgia,,,"Compare Coffea with ignatia and nux-v., in one-sided, as from a nail driven into the brain",,
Unusual Activity of body,Senses,,KIDNEYS,,,,,,,,WORSE night,,palpitation,,,"Compare Coffea with bell., hep., in Hasty eating and drinking",,
Full of ideas,,,KIDNEYS INCREASED ARTERIAL BLOOD PRESSURE,,,,,,,,,,nervous palpitation,,,"Compare Coffea with bism.,bry.,puls., caust., sep., nat-s., in toothache intermittent, jerking, relieved by holding ice-water in the mouth, but returns when water becomes warm.",,
Quick to act,,,KIDNEYS DIURETIC,,,,,,,,,,,,,,,
Sleepless due to ideas,,,KIDNEYS UREA DIMINSHED,,,,,,,,,,,,,,,
sleeplessness,,,SEXUAL ORGANS.,,,,,,,,,,,,,,,
Weeping from delight,,,SEXUAL ORGANS. Great Excitement,,,,,,,,,,,,,,,
Alternate laughing and weeping,,,SEXUAL ORGANS Paresis,,,,,,,,,,,,,,,
Alternate weeping and laughing,,,DIGESTIVE ORGANS,,,,,,,,,,,,,,,
Oversentitivness of all senses,,,DIGESTIVE ORGANS STIMULATED,,,,,,,,,,,,,,,
"Oversensitive senses , special Senses more acute",,,DIGESTIVE ORGANS Prostrated,,,,,,,,,,,,,,,
"Oversensitive senses , Sight more acute",,,VAGI Respiratory Center Powerfully Stimulated.,,,,,,,,,,,,,,,
"Oversensitive senses , Hearing more acute",,,,,,,,,,,,,,,,,,
"Oversensitive senses , Smell more acute",,,,,,,,,,,,,,,,,,
"Oversensitive senses , Taste more acute",,,,,,,,,,,,,,,,,,
"Oversensitive senses , touch more acute",,,,,,,,,,,,,,,,,,
Pains felt intensely,,,,,,,,,,,,,,,,,,
Cannot bear pains.,,,,,,,,,,,,,,,,,,
Pains seem insupportable,,,,,,,,,,,,,,,,,,
Pains drive patient to despair,,,,,,,,,,,,,,,,,,
Pains with despair,,,,,,,,,,,,,,,,,,
Pains with tossing about in anguish,,,,,,,,,,,,,,,,,,
Pains with anguish,,,,,,,,,,,,,,,,,,
Pains with restlessness,,,,,,,,,,,,,,,,,,
"sleeplessness , impossible to close the eyes.",,,,,,,,,,,,,,,,,,
"sleeplessness , Physical Excitement through mental exaltation.",,,,,,,,,,,,,,,,,,
Hurried eating,,,,,,,,,,,,,,,,,,
Hurried drinking,,,,,,,,,,,,,,,,,,
hasty eating,,,,,,,,,,,,,,,,,,
hasty drinking,,,,,,,,,,,,,,,,,,
Eats fast,,,,,,,,,,,,,,,,,,
Drinks fast,,,,,,,,,,,,,,,,,,
headache from mental exertion,,,,,,,,,,,,,,,,,,
headache from thinking,,,,,,,,,,,,,,,,,,
headache from talking,,,,,,,,,,,,,,,,,,
headache one sided,,,,,,,,,,,,,,,,,,
headache nail driven into brain,,,,,,,,,,,,,,,,,,
headache as if brain torn to pieces,,,,,,,,,,,,,,,,,,
headache worse in open air,,,,,,,,,,,,,,,,,,
toothache intermittent,,,,,,,,,,,,,,,,,,
toothache jerking,,,,,,,,,,,,,,,,,,
"toothache relieved by holding ice-water in mouth ,water returns when becomes warm.",,,,,,,,,,,,,,,,,,
toothache water returns when becomes warm.,,,,,,,,,,,,,,,,,,